subject,user_level,difficulty,topic,youtube_link,tutorial_site_link
Python,Beginner,Easy,Python Fundamentals,https://www.youtube.com/@ProgrammingwithMosh,https://docs.python.org/3/
Python,Intermediate,Medium,Python Fundamentals,https://www.youtube.com/@ProgrammingwithMosh,https://docs.python.org/3/
Python,Advanced,Hard,Python Fundamentals,https://www.youtube.com/@ProgrammingwithMosh,https://docs.python.org/3/
SQL,Beginner,Easy,SQL Fundamentals,https://www.youtube.com/@freecodecamp,https://www.w3schools.com/sql/
SQL,Intermediate,Medium,SQL Fundamentals,https://www.youtube.com/@freecodecamp,https://www.w3schools.com/sql/
SQL,Advanced,Hard,SQL Fundamentals,https://www.youtube.com/@freecodecamp,https://www.w3schools.com/sql/
Machine Learning,Beginner,Easy,Machine Learning Fundamentals,https://www.youtube.com/@statquest,https://scikit-learn.org/stable/
Machine Learning,Intermediate,Medium,Machine Learning Fundamentals,https://www.youtube.com/@statquest,https://scikit-learn.org/stable/
Machine Learning,Advanced,Hard,Machine Learning Fundamentals,https://www.youtube.com/@statquest,https://scikit-learn.org/stable/
Java,Beginner,Easy,Java Fundamentals,https://www.youtube.com/@Telusko,https://docs.oracle.com/en/java/
Java,Intermediate,Medium,Java Fundamentals,https://www.youtube.com/@Telusko,https://docs.oracle.com/en/java/
Java,Advanced,Hard,Java Fundamentals,https://www.youtube.com/@Telusko,https://docs.oracle.com/en/java/
C,Beginner,Easy,C Fundamentals,https://www.youtube.com/@CodeWithHarry,https://www.geeksforgeeks.org/c-programming-language/
C,Intermediate,Medium,C Fundamentals,https://www.youtube.com/@CodeWithHarry,https://www.geeksforgeeks.org/c-programming-language/
C,Advanced,Hard,C Fundamentals,https://www.youtube.com/@CodeWithHarry,https://www.geeksforgeeks.org/c-programming-language/
C++,Beginner,Easy,C++ Fundamentals,https://www.youtube.com/@ApnaCollegeOfficial,https://www.cplusplus.com/
C++,Intermediate,Medium,C++ Fundamentals,https://www.youtube.com/@ApnaCollegeOfficial,https://www.cplusplus.com/
C++,Advanced,Hard,C++ Fundamentals,https://www.youtube.com/@ApnaCollegeOfficial,https://www.cplusplus.com/
DSA,Beginner,Easy,DSA Fundamentals,https://www.youtube.com/@takeUforward,https://www.geeksforgeeks.org/data-structures/
DSA,Intermediate,Medium,DSA Fundamentals,https://www.youtube.com/@takeUforward,https://www.geeksforgeeks.org/data-structures/
DSA,Advanced,Hard,DSA Fundamentals,https://www.youtube.com/@takeUforward,https://www.geeksforgeeks.org/data-structures/
Cloud Computing,Beginner,Easy,Cloud Computing Fundamentals,https://www.youtube.com/@SimplilearnOfficial,https://aws.amazon.com/what-is-cloud-computing/
Cloud Computing,Intermediate,Medium,Cloud Computing Fundamentals,https://www.youtube.com/@SimplilearnOfficial,https://aws.amazon.com/what-is-cloud-computing/
Cloud Computing,Advanced,Hard,Cloud Computing Fundamentals,https://www.youtube.com/@SimplilearnOfficial,https://aws.amazon.com/what-is-cloud-computing/
Web Development,Beginner,Easy,Web Development Fundamentals,https://www.youtube.com/@freecodecamp,https://www.geeksforgeeks.org/
Web Development,Intermediate,Medium,Web Development Fundamentals,https://www.youtube.com/@freecodecamp,https://www.geeksforgeeks.org/
Web Development,Advanced,Hard,Web Development Fundamentals,https://www.youtube.com/@freecodecamp,https://www.geeksforgeeks.org/
Data Science,Beginner,Easy,Data Science Fundamentals,https://www.youtube.com/@freecodecamp,https://www.geeksforgeeks.org/
